id,titre,entreprise,date_recuperation,location,description,type_contrat,url,source,mot_cle_origine
d3016d01-452c-40ef-b31c-f922ede0175a,Data analyst,PwC,21/12/2025,Lyon,"La Data n’est pas qu’un buzzword chez PwC. C’est une communauté, réunissant déjà 300 experts. Le vrai plus, c’est que cette communauté est sans frontières ! Nos collaborateurs travaillent au quotidien avec tous les métiers et avec notre réseau international. Et pour être au top de l’innovation, on a ce qui se fait de mieux en matière d’environnement de travail et d’outils technos : datalab, delta room, intelligence artificielle, machine learning… Résultats ? Une activité multipliée par 2 en 3 ans (et ce n’est pas fini), une expertise reconnue et une position de leader en France. Bienvenue au cœur du big bang ! Avec 300 professionnels, le pôle Deals (M&A) accompagne les entreprises et fonds d’investissement dans leurs projets d’acquisition, de cession, de restructuration, ou de prise de décisions stratégiques. Dans ce contexte, l'équipe Deal Analytics, en fort développement, réalise des analyses approfondies afin d'apporter des éclairages nouveaux à ses clients, à tous les stades d'un processus M&A. Ce que vous pouvez attendre de nous : Vous prenez part à des projets variés, inscrits dans le temps du Deal (4 à 8 semaines) et êtes impliqué dans les domaines suivants : Apporter un nouveau regard sur la performance de l'entreprise, par exemple  :  Exploiter  des données transactionnelles pour analyser certains axes de rentabilité, mener des analyses prédictives Exploiter des données externes, afin de les coupler aux données de l'entreprise et ainsi élargir le champ des analyses  pertinentes   Utiliser la Data Visualisation pour explorer le résultat des analyses Vous êtes le  moteur du développement de l'équipe : Travailler au sein d'une équipe jeune, dynamique et être pleinement impliqué dans les décisions de l'équipe Travailler en autonomie, inventer de nouvelles manières d'aborder les problèmes, interagir avec le client et partager ses réalisations Participer à des événements internes et externes (conférences, forum ou présentations écoles etc.) Vous êtes le moteur dans la mise en œuvre de nouvelles approches au sein de nos équipes Transactions: Former les équipes à de nouvelles méthodologies et compétences Accompagner les équipes dans le cadre des projets Transactions Ce que nous pouvons attendre de vous :  Vous êtes diplômé(e) d’une école d’ingénieur ou d’école de commerce avec spécialisation data et des connaissances en finance d’entreprise Vous avez d’excellentes capacités analytiques et de résolution de problèmes complexes Curiosité, proactivité, ouverture, flexibilité et créativité vous définissent Vous avez d’excellentes capacités de communication et fortes qualités relationnelles Vous maîtrisez Excel Vous avez la volonté de participer au développement d’une équipe en plein essor, goût  entrepreneurial  You speak English very well Seraient un plus : - Une connaissance des modules data avancés d'Excel (PowerQuery, PowerPivot) - Une première expérience avec un outil de visualisation (Tableau, PowerBi) - Une première expérience avec Python et/ou R Ces avantages que nous vous offrons : Environnement de travail et Flexibilité  Flexibilité avec la charte  FlexWork  : télétravail étendu, mobilité géographique,  FlexTime ,  Dress for your day  Crystal Park (site de Neuilly-sur-Seine) : parc privatif de 2 hectares, conciergerie, salle de musique, salle de sport, Café Joyeux Développement  Mobilité internationale et mobilité interne à partir de 12 mois d’ancienneté Programme  New World. New Skills  pour monter en compétences sur les enjeux de demain (ESG, technologies, inclusion des diversités) et accès à une plateforme de formation à la demande  Engagement  Crédit de 3 jours par an sur le temps de travail pour des missions d’engagement sociétal Pass mobilité durable pour couvrir vos dépenses de mobilité durable Santé/Bien-être  Programme  Be Well, Work Well  pour prendre soin de sa santé (partenariat Gymlib, application United heroes, associations sportives, formations mindfulness…) Programme  Family Care  pour vous accompagner dans vos projets de parentalité comme dans les moments difficiles Et aussi : RTT, mutuelle santé et prévoyance, restaurants d'entreprise et titres-restaurants, avantages du Comité Inter-Entreprises…  Toutes nos offres sont ouvertes aux personnes en situation de handicap.",CDI,https://carrieres.pwc.fr/fr/fr/website/carrieres_pwc_fr/jeunes-diplomes-offres/presentation.html?wdjobreqid=671088WD&wdcountry=FRA&wdjobsite=Global_Campus_Careers&wdisu=INT515_Adobe_FR_FR_ISU@pwc&wdjd=simple,PwC,Data Analyst
b20df162-9960-456d-8256-f000f59b7631,Data analyst,PwC,21/12/2025,Neuilly-sur-Seine,"La Data n’est pas qu’un buzzword chez PwC. C’est une communauté, réunissant déjà 300 experts. Le vrai plus, c’est que cette communauté est sans frontières ! Nos collaborateurs travaillent au quotidien avec tous les métiers et avec notre réseau international. Et pour être au top de l’innovation, on a ce qui se fait de mieux en matière d’environnement de travail et d’outils technos : datalab, delta room, intelligence artificielle, machine learning… Résultats ? Une activité multipliée par 2 en 3 ans (et ce n’est pas fini), une expertise reconnue et une position de leader en France. Bienvenue au cœur du big bang ! Avec 300 professionnels, le pôle Deals (M&A) accompagne les entreprises et fonds d’investissement dans leurs projets d’acquisition, de cession, de restructuration, ou de prise de décisions stratégiques. Dans ce contexte, l'équipe Deal Analytics, en fort développement, réalise des analyses approfondies afin d'apporter des éclairages nouveaux à ses clients, à tous les stades d'un processus M&A. Ce que vous pouvez attendre de nous : Vous prenez part à des projets variés, inscrits dans le temps du Deal (4 à 8 semaines) et êtes impliqué dans les domaines suivants : Apporter un nouveau regard sur la performance de l'entreprise, par exemple  :  Exploiter  des données transactionnelles pour analyser certains axes de rentabilité, mener des analyses prédictives Exploiter des données externes, afin de les coupler aux données de l'entreprise et ainsi élargir le champ des analyses  pertinentes   Utiliser la Data Visualisation pour explorer le résultat des analyses Vous êtes le  moteur du développement de l'équipe : Travailler au sein d'une équipe jeune, dynamique et être pleinement impliqué dans les décisions de l'équipe Travailler en autonomie, inventer de nouvelles manières d'aborder les problèmes, interagir avec le client et partager ses réalisations Participer à des événements internes et externes (conférences, forum ou présentations écoles etc.) Vous êtes le moteur dans la mise en œuvre de nouvelles approches au sein de nos équipes Transactions: Former les équipes à de nouvelles méthodologies et compétences Accompagner les équipes dans le cadre des projets Transactions Ce que nous pouvons attendre de vous :  Vous êtes diplômé(e) d’une école d’ingénieur ou d’école de commerce avec spécialisation data et des connaissances en finance d’entreprise Vous avez d’excellentes capacités analytiques et de résolution de problèmes complexes Curiosité, proactivité, ouverture, flexibilité et créativité vous définissent Vous avez d’excellentes capacités de communication et fortes qualités relationnelles Vous maîtrisez Excel Vous avez la volonté de participer au développement d’une équipe en plein essor, goût  entrepreneurial  You speak English very well Seraient un plus : - Une connaissance des modules data avancés d'Excel (PowerQuery, PowerPivot) - Une première expérience avec un outil de visualisation (Tableau, PowerBi) - Une première expérience avec Python et/ou R Ces avantages que nous vous offrons : Environnement de travail et Flexibilité  Flexibilité avec la charte  FlexWork  : télétravail étendu, mobilité géographique,  FlexTime ,  Dress for your day  Crystal Park (site de Neuilly-sur-Seine) : parc privatif de 2 hectares, conciergerie, salle de musique, salle de sport, Café Joyeux Développement  Mobilité internationale et mobilité interne à partir de 12 mois d’ancienneté Programme  New World. New Skills  pour monter en compétences sur les enjeux de demain (ESG, technologies, inclusion des diversités) et accès à une plateforme de formation à la demande  Engagement  Crédit de 3 jours par an sur le temps de travail pour des missions d’engagement sociétal Pass mobilité durable pour couvrir vos dépenses de mobilité durable Santé/Bien-être  Programme  Be Well, Work Well  pour prendre soin de sa santé (partenariat Gymlib, application United heroes, associations sportives, formations mindfulness…) Programme  Family Care  pour vous accompagner dans vos projets de parentalité comme dans les moments difficiles Et aussi : RTT, mutuelle santé et prévoyance, restaurants d'entreprise et titres-restaurants, avantages du Comité Inter-Entreprises…  Toutes nos offres sont ouvertes aux personnes en situation de handicap.",CDI,https://carrieres.pwc.fr/fr/fr/website/carrieres_pwc_fr/jeunes-diplomes-offres/presentation.html?wdjobreqid=671096WD&wdcountry=FRA&wdjobsite=Global_Campus_Careers&wdisu=INT515_Adobe_FR_FR_ISU@pwc&wdjd=simple,PwC,Data Analyst
782b8588-0c38-4e38-8648-e70ba27c62ed,Data Engineer Junior H/F,PwC,21/12/2025,Montpellier,"Au sein des équipes Tech & Innovation, vous contribuez à des missions d’audit en mettant la donnée au service de la performance. Vous serez responsable de la conception, de la mise en œuvre et de l’optimisation des processus d’acquisition et d’intégration de données. Vous travaillerez également en étroite collaboration avec les auditeurs, les clients et les équipes internationales pour co-construire et déployer nos outils.    Vous intégrerez une équipe dynamique de 15 personnes, réparties en deux pôles, et serez rattaché(e) au pôle projet. Vous bénéficierez d’un encadrement structuré : un accompagnement direct par le responsable du pôle projet, appuyé par un membre de l’équipe projet, ainsi qu’un suivi régulier assuré par le responsable de service. Vos missions     Participer à l’acquisition, la transformation et la modélisation de données issues de systèmes comptables, ERP ou bases métiers.    Contribuer à la mise en place de pipelines d’ingestion de données à partir de sources hétérogènes    Participer à la modélisation des données et à la mise en place de référentiels    Collaborer à des projets globaux en lien avec les équipes internationales.    Accompagner les équipes techniques et métiers dans la définition des besoins et la mise en œuvre des solutions d’acquisition.    Rédiger et mettre à jour la documentation technique pour garantir la traçabilité et la compréhension des systèmes et des processus.    Assurer une veille technologique continue pour rester informé des dernières tendances et technologies, et contribuer à l’évaluation de nouveaux outils internes.    Compétences clés     Maîtrise de Python, SQL, Docker, Airflow ou équivalent ETL.    Connaissance des bases de données relationnelles et non relationnelles.    Appétence pour les environnements techniques et outils d’intégration : Azure, Git, Databricks, etc.      Intérêt pour les environnements Cloud (GCP, Azure, AWS).     Esprit analytique, rigueur, curiosité et sens du travail en équipe.      Profil recherché     Diplômé(e) d’une école d’ingénieur ou d’un master universitaire en Data, Informatique ou Systèmes d’information.      Première expérience significative en tant que Data Engineer (stage ou alternance inclus).      Capacité à concevoir des solutions robustes, scalables et maintenables.      Esprit analytique, rigueur, autonomie et sens du travail en équipe.      Anglais indispensable (échanges réguliers avec les équipes internationales, documentation technique).    Les avantages que nous vous offrons :   Environnement de travail et Flexibilité   :   Flexibilité avec la charte   FlexWork   : télétravail étendu, mobilité géographique,   FlexTime ,   Dress   for   your   day     Développement   :   Mobilité internationale et mobilité interne à partir de 12 mois d’ancienneté   Programme New World. New   Skills   pour monter en compétences sur les enjeux de demain (ESG, technologies, inclusion des diversités) et accès à une plateforme de formation à la demande    Engagement  Crédit de 3 jours par an sur le temps de travail pour des missions d’engagement sociétal   Pass   mobilité durable pour couvrir vos dépenses de mobilité durable   Santé/Bien-être   :   Programme Be   Well , Work   Well   pour prendre soin de sa santé (partenariat   Gymlib , application United   heroes , associations sportives, formations   mindfulness …)   Programme Family Care pour vous accompagner dans vos projets de parentalité comme dans les moments difficiles   Et aussi : RTT, mutuelle santé et prévoyance, restaurants d'entreprise et titres-restaurants, avantages du Comité Inter-Entreprises…   ​ Toutes nos offres sont ouvertes aux personnes en situation de handicap    #2",N/A,https://carrieres.pwc.fr/fr/fr/website/carrieres_pwc_fr/jeunes-diplomes-offres/presentation.html?wdjobreqid=677620WD&wdcountry=FRA&wdjobsite=Global_Campus_Careers&wdisu=INT515_Adobe_FR_FR_ISU@pwc&wdjd=simple,PwC,Data Engineer
